,normalization_fn,normalization_nu_fn,reg_fn_alpha,reg_fn_logmin,batch_size,length_cutoff_factor,initial_flow,learning_rate,number_epoch,step_per_epoch,B_beta,path_redraw,neighborhood,ExpectedReward,size,generators,reward_fn,heuristic_fn,initial_position
0,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0176189054476573,0,0,0.6307142972946167,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
1,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0146741267674955,0,0,0.6726465821266174,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
2,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0163438037185449,0,0,0.6345695853233337,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
3,1,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0664976298801097,0,0,0.6912549138069153,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
4,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1035339916096991,0,0,0.7080935835838318,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
5,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.021166834910735,0,0,0.5433167219161987,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
6,0,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0078705777458256,0,0,0.6956122517585754,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
7,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1162737556924849,0,0,0.6511397957801819,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
8,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0023846071613086,0,0,0.5135197639465332,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
9,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.003732980288589,0,0,0.6628564596176147,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
10,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0461360580844409,0,0,0.6821891665458679,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
11,4,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0043621940933273,0,0,0.6192165017127991,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
12,3,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0089652921208079,0,0,0.3352891206741333,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
13,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0461360580844409,0,0,0.6825369596481323,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
14,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0046479588383391,0,0,0.5373907089233398,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
15,3,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.012625372421292,0,0,0.3230304718017578,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
16,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1168323635730574,0,0,0.3362821936607361,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
17,4,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0041280527233157,0,0,0.6641930937767029,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
18,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0035938975007051,0,0,0.6644122004508972,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
19,0,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0664976298801097,0,0,0.8810667991638184,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
20,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0056680101051694,0,0,0.6634978652000427,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
21,3,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0202749078839116,0,0,0.3003369867801666,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
22,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0015362815730741,0,0,0.5736074447631836,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
